央视,#genre#
财富天下 ,http://192.168.30.1:7088/rtp/239.77.0.113:5146
IPTV-央视网台,#genre#
兵器科技 ,http://192.168.30.1:7088/rtp/239.253.43.18:5146
电视指南 ,http://192.168.30.1:7088/rtp/239.253.43.19:5146
风云足球 ,http://192.168.30.1:7088/rtp/239.253.43.20:5146
央视台球 ,http://192.168.30.1:7088/rtp/239.253.43.21:5146
高尔夫网球 ,http://192.168.30.1:7088/rtp/239.253.43.22:5146
女性时尚 ,http://192.168.30.1:7088/rtp/239.253.43.23:5146
世界地理 ,http://192.168.30.1:7088/rtp/239.253.43.24:5146
怀旧剧场 ,http://192.168.30.1:7088/rtp/239.253.43.25:5146
风云剧场 ,http://192.168.30.1:7088/rtp/239.253.43.26:5146
央视文化精品 ,http://192.168.30.1:7088/rtp/239.253.43.27:5146
第一剧场 ,http://192.168.30.1:7088/rtp/239.253.43.28:5146
风云音乐 ,http://192.168.30.1:7088/rtp/239.253.43.29:5146
卫生健康 ,http://192.168.30.1:7088/rtp/239.77.0.212:5146
CGTN英语 ,http://192.168.30.1:7088/rtp/239.77.0.199:5146
CGTN西班牙语 ,http://192.168.30.1:7088/rtp/239.77.0.221:5146
CGTN法语 ,http://192.168.30.1:7088/rtp/239.77.0.228:5146
CGTN阿拉伯语 ,http://192.168.30.1:7088/rtp/239.253.43.200:5146
CGTN俄语 ,http://192.168.30.1:7088/rtp/239.253.43.200:5146
数字,#genre#
CHC高清电影 ,http://192.168.30.1:7088/rtp/239.77.0.27:5146
金鹰纪实 ,http://192.168.30.1:7088/rtp/239.77.0.160:5146
快乐垂钓 ,http://192.168.30.1:7088/rtp/239.77.0.145:5146
茶频道 ,http://192.168.30.1:7088/rtp/239.77.0.15:5146
求索纪录 ,http://192.168.30.1:7088/rtp/239.77.0.21:5146
汽摩 ,http://192.168.30.1:7088/rtp/239.77.0.209:5146
天元围棋 ,http://192.168.30.1:7088/rtp/239.253.43.98:5146
国学 ,http://192.168.30.1:7088/rtp/239.77.0.226:5146
早期教育 ,http://192.168.30.1:7088/rtp/239.77.0.180:5146
中国教育1台 ,http://192.168.30.1:7088/rtp/239.77.0.200:5146
中国教育2台 ,http://192.168.30.1:7088/rtp/239.77.0.28:5146
中国教育4台 ,http://192.168.30.1:7088/rtp/239.253.43.114:5146
睛彩青少 ,http://192.168.30.1:7088/rtp/239.77.1.22:5146
睛彩竞技 ,http://192.168.30.1:7088/rtp/239.77.1.20:5146
睛彩篮球 ,http://192.168.30.1:7088/rtp/239.77.1.21:5146
睛彩广场舞 ,http://192.168.30.1:7088/rtp/239.77.1.23:5146
爱体育 ,http://192.168.30.1:7088/rtp/239.77.0.176:5146
IPTV-IPTV频道,#genre#
IPTV谍战剧场 ,http://192.168.30.1:7088/rtp/239.77.0.99:5146
IPTV相声小品 ,http://192.168.30.1:7088/rtp/239.77.0.100:5146
IPTV野外 ,http://192.168.30.1:7088/rtp/239.77.0.101:5146
IPTV法治 ,http://192.168.30.1:7088/rtp/239.77.0.102:5146

